Date,Price,Open,High,Low,Vol.,Change %
7/12/2022,"22,300.00","22,050.00","22,500.00","21,950.00",12.15M,1.13%
7/11/2022,"22,050.00","22,400.00","22,650.00","21,950.00",12.48M,-1.78%
7/8/2022,"22,450.00","22,000.00","22,550.00","22,000.00",19.50M,3.22%
7/7/2022,"21,750.00","21,450.00","21,750.00","21,400.00",10.83M,1.40%
7/6/2022,"21,450.00","21,700.00","22,250.00","21,300.00",18.23M,-2.05%
7/5/2022,"21,900.00","22,100.00","22,350.00","21,750.00",15.09M,-0.45%
7/4/2022,"22,000.00","22,650.00","22,650.00","22,000.00",12.44M,-1.79%
7/1/2022,"22,400.00","22,300.00","22,600.00","21,550.00",15.20M,0.45%
6/30/2022,"22,300.00","22,900.00","23,400.00","22,300.00",19.95M,-1.98%
6/29/2022,"22,750.00","22,300.00","23,150.00","22,100.00",20.19M,1.11%
6/28/2022,"22,500.00","22,850.00","22,850.00","22,250.00",17.84M,-1.75%
6/27/2022,"22,900.00","22,000.00","22,900.00","21,350.00",20.74M,5.05%
6/24/2022,"21,800.00","21,850.00","22,500.00","21,700.00",12.83M,0.00%
6/23/2022,"21,800.00","21,500.00","21,850.00","21,500.00",6.93M,1.40%
6/22/2022,"21,500.00","20,850.00","22,000.00","20,850.00",21.44M,3.37%
6/21/2022,"20,800.00","21,350.00","21,500.00","20,500.00",39.94M,-3.70%
6/20/2022,"21,600.00","22,750.00","23,000.00","21,600.00",37.27M,-6.90%
6/17/2022,"23,200.00","23,450.00","23,500.00","21,950.00",30.24M,-1.11%
6/16/2022,"23,461.50","22,818.20","23,726.40","22,629.00",43.40M,5.44%
6/15/2022,"22,250.60","22,780.40","23,385.90","21,834.40",37.31M,-2.97%
6/14/2022,"22,931.80","23,840.00","23,877.80","22,856.10",36.97M,-4.72%
6/13/2022,"24,067.00","24,975.20","25,353.60","23,991.30",27.61M,-5.36%
6/10/2022,"25,429.30","25,580.70","25,921.20","25,429.30",19.74M,-0.59%
6/9/2022,"25,580.70","24,899.50","26,148.30","24,786.00",35.07M,2.74%
6/8/2022,"24,899.50","25,202.20","25,315.80","24,786.00",32.29M,-0.90%
6/7/2022,"25,126.60","25,202.20","25,391.40","24,710.30",25.19M,-0.30%
6/6/2022,"25,202.20","25,845.50","25,921.20","25,050.90",23.10M,-0.30%
6/3/2022,"25,277.90","25,202.20","25,732.00","25,164.40",19.12M,0.75%
6/2/2022,"25,088.70","25,732.00","25,959.10","25,013.00",32.99M,-3.49%
6/1/2022,"25,996.90","26,110.40","26,337.50","25,580.70",28.14M,-1.01%
5/31/2022,"26,261.80","26,753.70","26,753.70","26,110.40",24.49M,-2.12%
5/30/2022,"26,829.40","26,867.30","27,132.10","26,715.90",19.57M,0.00%
5/27/2022,"26,829.40","26,488.80","27,170.00","26,337.50",22.87M,1.29%
5/26/2022,"26,488.80","26,488.80","26,942.90","26,148.30",21.09M,1.60%
5/25/2022,"26,072.60","26,110.40","26,451.00","25,013.00",51.24M,-1.29%
5/24/2022,"26,413.20","27,813.30","28,002.50","25,883.40",54.86M,-5.03%
5/23/2022,"27,813.30","28,721.50","28,910.70","27,472.70",13.23M,-2.39%
5/20/2022,"28,494.40","28,532.30","28,607.90","28,191.70",18.11M,-0.66%
5/19/2022,"28,683.60","28,229.50","28,835.00","27,889.00",20.85M,-0.79%
5/18/2022,"28,910.70","29,062.00","29,289.10","28,645.80",20.90M,0.00%
5/17/2022,"28,910.70","27,397.00","28,910.70","27,245.70",30.44M,5.23%
5/16/2022,"27,472.70","28,040.30","28,380.90","27,472.70",38.21M,1.11%
5/13/2022,"27,170.00","28,872.80","29,175.60","27,056.50",55.90M,-6.14%
5/12/2022,"28,948.50","30,727.10","30,764.90","28,948.50",32.83M,-5.90%
5/11/2022,"30,764.90","31,029.80","31,256.80","30,689.20",12.43M,-1.09%
5/10/2022,"31,105.50","29,894.60","31,105.50","29,289.10",25.27M,2.88%
5/9/2022,"30,235.10","31,408.20","31,710.90","30,235.10",34.17M,-4.43%
5/6/2022,"31,635.20","31,332.50","32,543.40","31,332.50",19.51M,-0.59%
5/5/2022,"31,824.50","32,240.70","32,240.70","31,408.20",17.96M,0.12%
5/4/2022,"31,786.60","32,770.50","32,770.50","31,786.60",19.37M,-3.00%
4/29/2022,"32,770.50","32,467.80","32,846.20","32,429.90",16.05M,0.46%
4/28/2022,"32,619.10","32,165.00","32,884.00","32,165.00",17.70M,1.41%
4/27/2022,"32,165.00","31,181.20","32,467.80","31,105.50",24.41M,3.16%
4/26/2022,"31,181.20","30,386.50","31,332.50","29,970.20",30.26M,1.10%
4/25/2022,"30,840.60","33,148.90","33,148.90","30,840.60",37.77M,-6.96%
4/22/2022,"33,148.90","33,300.30","33,338.10","32,051.50",16.51M,1.04%
4/21/2022,"32,808.30","32,543.40","33,375.90","31,862.30",23.16M,0.35%
4/20/2022,"32,694.80","32,921.80","33,300.30","32,619.10",17.21M,-0.23%
4/19/2022,"32,770.50","32,543.40","33,224.60","32,467.80",24.77M,1.52%
4/18/2022,"32,278.50","33,338.10","33,716.50","32,278.50",30.14M,-3.51%
4/15/2022,"33,451.60","33,981.40","34,057.10","33,413.80",23.89M,-1.56%
4/14/2022,"33,981.40","34,284.10","34,473.30","33,981.40",15.65M,-0.66%
4/13/2022,"34,208.40","34,284.10","34,397.70","33,830.00",16.53M,0.22%
4/12/2022,"34,132.80","35,192.30","35,192.30","34,094.90",23.70M,-2.80%
4/8/2022,"35,116.60","35,381.50","35,608.60","35,078.80",17.86M,-0.32%
4/7/2022,"35,230.20","35,949.10","36,024.80","35,230.20",18.87M,-1.48%
4/6/2022,"35,759.90","34,813.90","36,289.70","34,813.90",38.62M,2.49%
4/5/2022,"34,889.60","34,813.90","35,116.60","34,776.10",15.76M,0.55%
4/4/2022,"34,700.40","34,813.90","35,041.00","34,624.70",15.80M,0.33%
4/1/2022,"34,586.90","34,057.10","34,813.90","33,678.70",25.61M,1.33%
3/31/2022,"34,132.80","34,549.00","34,776.10","33,905.70",24.56M,-0.88%
3/30/2022,"34,435.50","34,662.50","35,116.60","34,359.80",20.44M,-0.76%
3/29/2022,"34,700.40","34,965.30","35,003.10","34,662.50",16.88M,-0.11%
3/28/2022,"34,738.20","34,889.60","35,457.20","34,662.50",25.36M,-1.08%
